size,degree,rep,exact,npe,intersetion_size,intersection_percent,m2,m3
25,10,1,18,14,12,0.857143,2.98556,0.120128
25,10,10,15,11,10,0.909091,5.56257,0
25,10,2,10,8,7,0.875,2.82843,0.148651
25,10,3,8,6,6,1,3.53553,0
25,10,4,17,12,8,0.666667,7.48701,0.140149
25,10,5,16,11,9,0.818182,6.71751,0.15289
25,10,6,11,10,10,1,1.41421,0
25,10,7,11,9,9,1,1.15708,0
25,10,8,8,7,5,0.714286,0.53033,0.169887
25,10,9,13,10,9,0.9,1.523,0.118921
25,3,1,5,5,5,1,0,0
25,3,10,12,11,11,1,0.117851,0
25,3,2,8,8,8,1,0,0
25,3,3,9,9,8,0.888889,0,0
25,3,4,10,9,8,0.888889,0.707107,0.228863
25,3,5,8,8,8,1,0,0
25,3,6,12,11,11,1,0.117851,0
25,3,7,9,9,9,1,0,0
25,3,8,9,9,9,1,0,0
25,3,9,13,10,8,0.8,0.7615,0.118921
25,5,1,14,12,12,1,1.81827,0
25,5,10,14,13,12,0.923077,0.303046,0.129369
25,5,2,11,10,10,1,0.642824,0
25,5,3,15,12,11,0.916667,3.77124,0.171647
25,5,4,12,8,8,1,4.94975,0
25,5,5,15,11,9,0.818182,2.07418,0.264814
25,5,6,10,7,7,1,4.52548,0
25,5,7,10,9,8,0.888889,1.41421,0.132134
25,5,8,12,11,8,0.727273,1.06066,0.187252
25,5,9,13,14,11,0.785714,0.108786,0.120128
50,10,1,17,11,10,0.909091,7.48701,0
50,10,10,15,11,10,0.909091,3.01699,0.10811
50,10,2,23,16,13,0.8125,6.88661,0.105112
50,10,3,22,12,10,0.833333,10.928,0.171647
50,10,4,19,13,10,0.769231,12.3558,0.182955
50,10,5,17,10,10,1,13.5598,0
50,10,6,21,15,14,0.933333,9.63012,0
50,10,7,25,16,13,0.8125,9.67322,0.105112
50,10,8,20,13,12,0.923077,10.6773,0
50,10,9,18,11,9,0.818182,6.28539,0.15289
50,3,1,15,13,9,0.692308,1.03709,0.20455
50,3,10,18,13,10,0.769231,2.43559,0.20455
50,3,2,12,8,8,1,4.47834,0
50,3,3,17,12,10,0.833333,3.74351,0.0991006
50,3,4,23,13,9,0.692308,12.113,0.129369
50,3,5,17,11,9,0.818182,4.07626,0.187252
50,3,6,17,12,9,0.75,6.32237,0.171647
50,3,7,16,13,11,0.846154,3.44715,0.0914775
50,3,8,14,10,8,0.8,1.01015,0
50,3,9,16,9,9,1,9.89949,0
50,5,1,16,8,8,1,12.0208,0
50,5,10,10,9,3,0.333333,1.83848,0.264268
50,5,2,16,9,9,1,13.2583,0
50,5,3,18,11,10,0.909091,6.91393,0
50,5,4,23,14,13,0.928571,5.96429,0.0849434
50,5,5,17,10,10,1,12.2288,0
50,5,6,18,14,11,0.785714,4.16407,0.169887
50,5,7,15,11,9,0.818182,6.97679,0.10811
50,5,8,19,12,12,1,7.44323,0
50,5,9,16,10,10,1,8.57367,0
